0,Library,Year,Upper Tier Code,Legal Name,New Legal Name,Mailing Address,Postal Code,City,Street Address,Library Web Site Address,Library Service Type,Population (Resident),Households (Resident),Population (Contracting),Households (Contracting),Date year starts,Date year ends,Ontario Library Service (OLS) Region,# of Active Library Cardholders,Net Balance brought forward amount,Net Balance brought forward type,Provincial Operating Funding,Local Operating Grant,Contract Revenue,Project Grants,Donations,Self-generated Revenue,Debt Services and Reserve Fund Revenues,Other operating revenue,Total Operating Revenues,Provincial capital revenues,Federal capital revenues,Local capital revenues,Other capital revenues,Total Capital Revenues,General materials expenditure,Electronic materials expenditure,Staffing expenditure,Staff Training expenditure,Facilities/Utilities,Telephone and Fax,Dedicated Internet Connectivity Costs,Computer Services,Debt Charges and Transfers to Reserve Funds,Funds returned to government sources,Contract payment made to library boards for library services,Other expenditures,Total Operating Expenditures,Total Capital Expenditures,Titles Held (Reference - English Language),Titles Held (Reference - French Language),Titles Held (Reference - Other Language),Volumes Held (Reference - English Language),Volumes Held (Reference - French Language),Volumes Held (Reference - Other Language),# of Databases (Reference - English Language),# of Databases (Reference - French Language),# of Databases (Reference - Other Language),# of CD ROM Titles (Reference - English Language),# of CD ROM Titles (Reference - French Language),# of CD ROM Titles (Reference - Other Language),# of copies of CD ROM (Reference - English Language),# of copies of CD ROM (Reference - French Language),# of copies of CD ROM (Reference - Other Language),Titles Held (Circulating - English Language),Titles Held (Circulating - French Language),Titles Held (Circulating - Other Language),Volumes Held (Circulating - English Language),Volumes Held (Circulating - French Language),Volumes Held (Circulating - Other Language),# of CD ROM Titles (Circulating - English Language),# of CD ROM Titles (Circulating - French Language),# of CD ROM Titles (Circulating - Other Language),# of copies of CD ROMs (Circulating - English Language),# of copies of CD ROMs (Circulating - French Language),# of copies of CD ROMs (Circulating - Other Language),Titles Held (Periodicals - English Language),Titles Held (Periodicals - French Language),Titles Held (Periodicals - Other Language),# of Database Subscriptions (Periodicals - English Language),# of Database Subscriptions (Periodicals - French Language),# of Database Subscriptions (Periodicals - Other Language),# of CD ROM Titles (Periodicals - English Language),# of CD ROMs Titles (Periodicals - French Language),# of CD ROM Titles (Periodicals - Other Language),# of copies of CD ROMs (Periodicals - English Language),# of copies of CD ROMs (Periodicals - French Language),# of copies of CD ROMs (Periodicals - Other Language),# of individual electronic periodical titles (English Language),# of individual electronic periodical titles (French Language),# of individual electronic periodical titles (Other Language),# of hours per week in an FTE,Librarians (Full Time - # of people),Library Technicians (Full Time - # of people),EXCEL Graduates  (Full Time - # of people),Other staff (Full Time - # of people),Volunteers (Full Time - # of people),Librarians (Part Time - # of people),Librarians (Part Time - Hours worked),Library Technicians (Part Time - # of people),Library Technicians (Part Time - Hours worked),EXCEL Graduates (Part Time - # of people),EXCEL Graduates (Part Time - Hours worked),Other staff (Part Time - # of people),Other staff (Part Time - Hours worked),Volunteers (Part Time - # of people),Volunteers (Part Time - Hours worked),# of Public access workstations,Workstations with internet access,Workstations with OPAC access,Workstations with CD ROM access,Automated catalogue available,Name of Automated Catalogue System,Does your library provide wireless Internet connection,# of Main Libraries,Main Library - total hours open per week,# of Branches open >= 12 hours per week,Branches open >= 12 hours per week - total hours open per week,# of Branches open < 12 hours per week,Branches open < 12 hours per week - total hours open per week,# of Bookmobile stops,Bookmobile hours per week,# of Deposit Stations,Deposit Station hours per week,# of Bookmobiles,Total Annual Direct Circulation,# of programs held annually,Annual program attendance,# of items borrowed,# of items lent,# of requests made to other libraries,# of requests received from other libraries,Typical Week - Direct circulation,Typical Week - Materials use in library,Typical Week -  # of people using library workstations,Typical Week -  # of times electronic databases accessed,No of people using public library wireless connection,Typical Week -  # of standard reference transactions,Typical Week -  # of electronic reference transactions,Typical Week -  # of library visits made in person,Typical Week -  # of electronic library visits
15,Artemesia Twp,2000,47,Artemesia Twp,Grey Highlands,P.O. Box 280,N0C1E0,Flesherton,10 Elizabeth Street,www.bmts.com/flepub/,Public or Union Library,3231,2184,700,345,01/01/2000,12/31/2000,SOLS,1455,809,Surplus,9765,35182,3095,19781,2679,3852,0,0,74354,0,0,25089,0,25089,7973,0,37396,696,6354,3299,0,10106,0,0,8796,0,74620,25089,97,1,0,223,5,0,0,0,0,22,1,0,22,1,0,11740,81,16,11866,81,16,0,0,0,0,0,0,35,0,0,0,0,0,25,1,0,25,1,0,0,0,0,35,0,0,0,0,0,0,0,1,22,0,0,2,16,3,12,7,7,0,5,Yes,Winnebago Circ (Dos),0,1,28,0,0,0,0,0,0,0,0,0,14449,44,1160,500,313,530,400,281,130,36,0,0,93,0,251,0
16,Asphodel-Norwood Twp,2000,66,Asphodel-Norwood Twp,Township of Asphodel-Norwood,P.O. Box 100,K0L2V0,Norwood,2363 County Road 45,www.anpl.org,Public or Union Library,3692,1659,0,0,01/01/2000,12/31/2000,SOLS,1956,1923,Surplus,8593,54410,0,19811,1711,4789,12307,0,101621,0,0,0,0,0,7429,0,35650,1592,17480,5046,0,10278,0,0,0,0,77475,0,152,0,0,326,0,0,0,0,0,7,0,0,7,0,0,22400,25,0,24750,25,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,24,0,0,0,0,2,36,3,36,5,5,1,5,Yes,Dynix,0,0,0,2,24,0,0,0,0,0,0,0,19531,7,1087,196,71,372,98,370,84,15,21,0,24,0,218,0
17,Assiginack Twp,2000,83,Assiginack Twp,,Box 280 Manitowaning,P0P1N0,Manitoulin Island,"25A Spragge St., Manitowaning",www.assiginacklibrary.org,Public or Union Library,775,724,0,0,01/01/2000,12/31/2000,OLS-N,681,0,Nil,3483,18800,0,10396,2377,482,0,543,36081,0,0,0,0,0,4005,0,14898,547,3224,1012,0,11051,0,0,0,746,35483,0,241,0,0,330,0,0,0,0,0,0,0,0,0,0,0,10085,0,0,10085,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,1,18,0,0,2,2,3,3,0,0,No,,0,1,14,0,0,0,0,0,0,0,0,0,21228,3,325,42,15,53,15,449,298,20,0,0,99,0,71,0
18,Athens Twp.,2000,56,Athens Twp.,,P.O. Box 309,K0E1B0,Athens,"5 Central Street, Athens",WWW.athenslibrary.ca,Public or Union Library,938,425,1948,848,01/01/2000,12/31/2000,SOLS,802,3092,Surplus,3291,5500,3539,935,0,2688,0,0,15953,0,0,0,53551,53551,3800,0,8565,344,21049,641,641,0,0,0,0,27397,62437,0,100,0,0,166,0,0,0,0,0,17,0,0,17,0,0,10438,4,362,10661,4,362,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9.5,1,7.5,9,7,3,2,0,3,No,,0,1,12,0,0,0,0,0,0,0,0,0,7536,7,79,162,0,170,162,176,45,13,0,0,17,0,101,0
11,Atikokan Twp,2000,87,Atikokan Twp,,214 Skyes St.,P0T1C0,Atikokan,214 Sykes St.,www.aplibrary.org,Public or Union Library,3493,1645,0,0,01/01/2000,12/31/2000,OLS-N,3216,-38166,Deficit,10452,136000,0,25070,2958,9381,9450,674,193985,0,0,40000,0,40000,18488,522,120704,1071,18909,1721,0,9207,7665,0,0,33939,212226,40000,1026,0,0,1026,0,0,1,0,0,96,26,0,96,26,0,35298,339,51,35298,339,51,140,0,0,140,0,0,839,1,0,1,0,0,0,0,0,0,0,0,348,0,0,35,1,0,0,0,0,0,0,2,25,0,0,8,28,5,5,14,12,10,2,Yes,Winnebago,0,1,32.5,0,0,0,0,0,0,3,24,0,78642,50,2578,157,443,213,813,821,150,52,72,0,120,0,554,0
10,Augusta Twp,2000,56,Augusta Twp,,R.R. #2,K6V5T2,Brockville,4500 County Road 15,augustalibrary.com,Public or Union Library,7327,2857,0,0,01/01/2000,12/31/2000,SOLS,1000,39134,Surplus,13297,55000,0,30385,5552,2915,0,2358,109507,0,0,0,0,0,16994,512,36073,326,11519,794,0,23385,0,0,0,1866,91469,0,318,0,0,369,0,0,1,0,0,12,0,0,23,0,0,13887,28,0,13945,28,0,0,0,0,0,0,0,24,0,0,1,0,0,0,0,0,0,0,0,560,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,49.5,9,19,5,1,0,1,No,,0,1,26,0,0,0,0,0,0,0,0,0,26350,38,320,179,0,199,0,502,525,9,0,0,10,0,313,22
33,Aurora,2000,27,Aurora,,15145 Yonge Street,L4G1M1,Aurora,,www.library.aurora.on.ca,Public or Union Library,40000,12381,0,0,01/01/2000,12/31/2000,SOLS,24100,0,Nil,45422,1205650,0,0,0,59476,0,690,1311238,0,0,0,0,0,183850,13000,882678,7239,52223,8748,0,53618,39862,0,0,71302,1312520,0,2127,27,0,4863,48,0,1,0,0,3,0,0,3,0,0,102187,2832,700,110798,3873,700,0,0,0,0,0,0,242,6,0,3,0,0,20,0,0,31,0,0,4500,0,0,35,3,3,0,6,0,0,0,0,0,0,0,18,363,6,18,18,6,9,7,Yes,Epixtech,0,1,50,0,0,0,0,0,0,0,0,0,386149,357,7554,1040,1560,1153,1973,9173,2989,405,0,0,697,9,5016,312
60,"Bagot, Blythfield & Brougham Twp",2000,69,"Bagot, Blythfield & Brougham Twp",Greater Madawaska Twp,P.O. Box # 160,K0J1H0,Calabogie,4984 Calabogie Road,,Public or Union Library,1599,1827,0,0,01/01/2000,12/31/2000,SOLS,0,4925,Surplus,7767,9233,0,0,785,284,0,127,18196,0,0,0,0,0,3004,0,11099,380,2313,986,278,262,864,0,0,535,19721,2488,206,0,0,206,0,0,0,0,0,1,0,0,1,0,0,6216,35,0,6216,35,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,20,1,3,1,1,0,1,No,,0,1,20,0,0,0,0,0,0,0,0,0,4868,1,20,69,0,69,0,90,0,15,0,0,1,2,30,0
61,Baldwin Twp,2000,88,Baldwin Twp,,P.O. Box 7095,P0P1M0,McKerrow,11 Spooner St,www.townshipofbaldwin.ca,Contracting Municipality,519,340,0,0,01/01/2000,12/31/2000,OLS-N,0,0,Nil,1694,0,0,0,0,0,0,0,1694,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1694,0,1694,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62,Bancroft,2000,51,Bancroft,Town of Bancroft,P.O. Box 127,K0L1C0,Bancroft,14 Flint Street,bancroftlibrary@bellnet.ca,Public or Union Library,3512,1871,2061,1884,01/01/2000,12/31/2000,SOLS,2034,4472,Surplus,8867,56990,8275,17739,2928,2523,0,1201,98523,0,0,0,0,0,12084,0,50485,448,12093,1584,0,22328,0,0,0,2932,101954,0,422,0,0,628,0,0,0,0,0,0,0,0,0,0,0,17311,271,134,17311,271,134,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,1,6,2,52,4,9,4,4,0,4,No,,0,1,26,0,0,0,0,0,0,0,0,0,24331,1,81,196,50,348,116,523,13,52,0,0,62,0,297,0
63,Bangor Wicklow McClure and Monteagle Union,2000,51,Bangor Wicklow McClure and Monteagle Union,Hastings Highlands,PO Box 70,K0L2S0,Maynooth,33011 Hwy. # 62 North,,Public or Union Library,2131,2263,0,0,01/01/2000,12/31/2000,SOLS,0,16812,Surplus,11921,5080,0,17792,100,100,0,0,34993,0,0,0,0,0,2240,0,15088,2303,2400,652,0,18932,144,0,0,0,41759,0,6,0,0,106,0,0,0,0,0,5,0,0,5,0,0,5644,0,0,5644,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,20,1,2,5,5,0,5,No,,0,1,22,0,0,0,0,0,0,0,0,0,4174,1,65,68,67,68,67,98,16,22,0,0,21,5,87,30
43,Barrie,2000,70,Barrie,,60 Worsley Street,L4M1L6,Barrie,,http://www.library.barrie.on.ca,Public or Union Library,78965,30484,7282,3176,01/01/2000,12/31/2000,SOLS,66038,75176,Surplus,271808,2125141,75000,17000,14920,199770,48732,14300,2766671,0,0,28975,0,28975,573037,17890,1392647,13496,427585,12973,0,199203,75174,28975,0,69244,2810224,5858,5059,26,0,12479,105,0,2,0,0,15,1,0,41,1,0,134771,3613,880,178761,3945,890,94,0,0,97,0,0,376,5,0,3,0,0,0,0,0,0,0,0,2052,0,0,35,5,5,0,7,0,2,48,3,68,0,0,30,553,129,256,27,17,27,11,Yes,Horizon,0,1,62,0,0,0,0,0,0,0,0,0,1294843,334,9140,2305,2385,2600,5408,27829,2320,362,0,0,1360,8,12500,1694
68,Barry's Bay,2000,69,Barry's Bay,Madawaska Valley,P.O. Box 970,K0J1B0,Barry's Bay,19474 Opeongo Street,,Public or Union Library,993,533,4698,3319,01/01/2000,12/31/2000,SOLS,1671,112,Surplus,9740,16956,46682,9800,8374,7185,3900,165,102802,0,0,0,0,0,17029,0,50178,0,6533,1394,0,12850,0,0,0,14757,102741,0,455,0,0,506,0,0,1,0,0,2,0,0,2,0,0,16444,148,185,18271,148,185,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,1,0,0,0,0,0,0,0,0,4,29,6,14,4,2,1,2,Yes,Spectrum,0,1,25,0,0,0,0,0,0,0,0,0,26076,5,577,243,8,332,8,467,31,7,1,0,15,2,206,0
392,Batchewana FN,2000,80,Batchewana FN,,236 Frontenac Street,P6A5K9,Sault Ste. Marie,,www.batchewana.ca,First Nations Library,737,0,0,0,04/01/2000,03/31/2001,OLS-N,2113,-18129,Deficit,2852,23129,0,32196,0,0,0,0,58177,0,0,0,0,0,463,0,41515,0,0,533,1386,14280,0,0,0,0,58177,0,422,0,2,4971,0,2,0,0,0,10,0,0,10,0,0,40,0,0,200,0,0,1,0,0,1,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6,6,0,6,No,,0,1,35,0,0,0,0,1,35,0,0,1,420,12,48,0,0,0,10,20,4,20,30,0,2,6,25,20
42,Beachburg,2000,69,Beachburg,Whitewater Region Twp,P.O. Box 159,K0J1C0,Beachburg,20 Cameron Street,,Public or Union Library,823,354,2125,1110,01/01/2000,12/31/2000,SOLS,1152,15587,Surplus,4644,0,4799,0,955,648,0,2970,14016,0,0,0,0,0,11718,0,10513,0,0,834,0,0,0,0,0,595,23660,3553,42,0,0,379,0,0,0,0,0,2,0,0,2,0,0,10150,100,0,10150,100,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,1,14,1,2,0,0,2,1,0,2,No,,0,1,14,0,0,0,0,0,0,0,0,0,13494,11,120,93,0,101,0,154,51,3,0,0,15,20,129,1
69,Beardmore Twp,2000,89,Beardmore Twp,Greenstone,P.O. Box 240,P0T1G0,Beardmore,185 Main Street,town.beardmore.on.ca,Public or Union Library,355,237,0,0,01/01/2000,12/31/2000,OLS-N,350,577,Surplus,2684,15600,0,7811,150,669,0,79,26993,0,0,2400,0,2400,3112,0,11281,259,3529,732,0,5494,0,0,0,1220,25627,2395,53,0,0,69,0,0,0,0,0,9,0,0,9,0,0,8801,211,12,8843,211,12,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10,1,2,2,2,7,3,0,4,No,,0,1,12,0,0,0,0,0,0,0,0,0,1747,17,282,6,0,9,6,67,5,11,0,0,1,1,70,0
